Pruning_Method,Venue,Year,Pruning_Location,Pruned_Target,VLM,edit,Token_Retention,GQA,MMB,MM-CN,MME,POPE,SQA,VQA_v2,VQA_Text,VizWiz,FLOPs,Inference (ms),GitHub
SparseVLM,ICML'25,2025,llm decoder,visual token,LLaVA-NeXT-7B,0,288,56.12,54.47,50.69,1332.22,63.23,68.62,71.62,51.97,53.16,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-NeXT-7B,0,288,58.12,63.32,54.47,1370.11,80,68.12,75.21,57.57,56.92,,,
FastV,ECCV'24,2024,llm decoder,visual token,LLaVA-NeXT-7B,0,144,49.83,54.9,45.36,1079.46,51.66,68.52,61.84,51.85,51.25,,,
FasterVLM,ICML'25,2025,vision encoder,visual token,LLaVA-NeXT-7B,0,144,54.73,60.48,53.09,1225.96,72.89,68.86,70.63,55.97,56.27,,,
Vanilla,CVPR'24,2024,none,none,LLaVA-NeXT-7B,0,0,37.93,21.05,17.7,601.93,23.4,64.01,40.59,37.57,46.01,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,288,61.9,,,,,,,58.2,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,192,61.01,,,,,,,58,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,144,59.88,,,,,,,57.24,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,128,58.95,,,,,,,56.65,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,64,58.7,,,,,,,56.14,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,32,53.77,,,,,,,55.14,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-7B,0,16,53.52,,,,,,,54.81,,,,
SVD,ours,2027,vision encoder,visual token,LLaVA-1.5-13B,0,432,,,,,,,,60.37,,,,
SVD,ours,2028,vision encoder,visual token,LLaVA-1.5-13B,0,288,,,,,,,,60.08,,,,
SVD,ours,2029,vision encoder,visual token,LLaVA-1.5-13B,1,144,,,,,,,,57.82,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-13B,1,58,,,,,,,,53.26,,,,
SVD,ours,2026,vision encoder,visual token,LLaVA-1.5-13B,1,29,,,,,,,,51.06,,,,
